2020-02-26 21:42:39,300 [1] INFO  ZaraTech_Prueba.Investor - Fecha de compra: 31/05/2001 0:00:00
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones compradas: 13,373
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones totales hasta la fecha: 13,373
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Fecha de compra: 28/06/2001 0:00:00
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones compradas: 13,243
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones totales hasta la fecha: 26,616
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Fecha de compra: 26/07/2001 0:00:00
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones compradas: 13,604
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones totales hasta la fecha: 40,220
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Fecha de compra: 30/08/2001 0:00:00
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones compradas: 13,032
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones totales hasta la fecha: 53,252
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Fecha de compra: 27/09/2001 0:00:00
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones compradas: 13,756
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones totales hasta la fecha: 67,008
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Fecha de compra: 25/10/2001 0:00:00
2020-02-26 21:42:39,321 [1] INFO  ZaraTech_Prueba.Investor - Acciones compradas: 12,526
2020-02-26 21:42:39,322 [1] INFO  ZaraTech_Prueba.Investor - Acciones totales hasta la fecha: 79,534
2020-02-26 21:42:39,322 [1] INFO  ZaraTech_Prueba.Investor - Fecha de compra: 29/11/2001 0:00:00
2020-02-26 21:42:39,322 [1] INFO  ZaraTech_Prueba.Investor - Acciones compradas: 11,611
2020-02-26 21:42:39,322 [1] INFO  ZaraTech_Prueba.Investor - Acciones totales hasta la fecha: 91,145
2020-02-26 21:42:39,322 [1] INFO  ZaraTech_Prueba.Investor - Fecha de compra: 27/12/2001 0:00:00
2020-02-26 21:42:39,322 [1] INFO  ZaraTech_Prueba.Investor - Acciones compradas: 11,449
2020-02-26 21:42:39,322 [1] INFO  ZaraTech_Prueba.Investor - Acciones totales hasta la fecha: 102,594
2020-02-26 21:42:39,322 [1] INFO  ZaraTech_Prueba.Investor - Fecha de compra: 31/01/2002 0:00:00
